Issue #,Title,Category,Severity,Action,Area,Justification,Created,Assignee
259,"Investigate: VS Code crash during Squad execution",Bug,Critical,Fix Now,Infrastructure,VS Code crash impacts developer productivity and trust,2026-03-07,unassigned
257,"Improve coordinator delegation – reduce takeover behavior",Bug,High,Fix Now,Backend,Coordinator takeover undermines Squad agent model,2026-03-07,unassigned
248,"CLI command wiring: squad triage not routing issues",Bug,High,Fix Now,Backend,Documented CLI feature non-functional,2026-03-07,unassigned
197,"Improve migration experience (v0.5.4 → v0.8.x)",Bug,High,Fix Now,DevEx,Migration friction blocks v0.8.x adoption,2026-03-05,unassigned
266,"Recipes & Advanced Scenarios 403 error",Bug,Medium,Fix Now,Documentation,Dead docs link damages credibility (IN PROGRESS),2026-03-08,unassigned
252,"RFC: CLI-First Architecture",RFC,High,Schedule Next Sprint,Architecture,High-priority RFC needs design consensus,2026-03-07,unassigned
261,"feat: CommunicationAdapter",Feature Request,Medium,Needs Info,Architecture,Already in-review - awaiting PR completion,2026-03-07,unassigned
258,"Docs: Teams MCP integration audit",Documentation,Medium,Schedule Next Sprint,Documentation,Docs accuracy issue,2026-03-07,unassigned
256,"GitHub App authentication for commits",Feature Request,Medium,Schedule Next Sprint,Infrastructure,Strategic but not urgent,2026-03-07,unassigned
240,"ADO configurable work item types",Feature Request,Medium,Schedule Next Sprint,Backend,ADO integration enhancement,2026-03-07,unassigned
236,"feat: persistent Ralph (squad watch)",Feature Request,Medium,Schedule Next Sprint,Backend,Feature implemented but not wired,2026-03-07,unassigned
126,"upgrade --migrate-directory git warning",Enhancement,Medium,Schedule Next Sprint,DevEx,Migration UX warning,2026-02-20,unassigned
208,"Doc: how to build autonomous agent",Documentation,Low,Convert to Discussion,Documentation,Open-ended community request,2026-03-05,unassigned
260,"Explore: GitHub.com-based Squad",Feature Request,Low,Schedule Backlog,Architecture,Exploratory - research phase,2026-03-07,unassigned
242,"Tiered Squad Deployment (Hub Repos)",Feature Request,Low,Schedule Backlog,Architecture,Complex - needs design phase,2026-03-07,unassigned
180,"Automatic developer handover",Feature Request,Low,Schedule Backlog,Feature,Nice-to-have automation,2026-03-03,unassigned
